objectid,filename,title,creator,date,description,subject,format
poster01,1986.04.06.jpg,"""Prelude to Swing Plus 50"" Poster",African American Arts Institute,1986-04-06,"Poster advertising ""Prelude to Swing Plus"" event","African American Dance Company, African American Choral Ensemble, Soul Revue, African American Arts Institute",image/jpg
poster02,1990.04.14.jpg,Afro-American Dance Company 1990 Poster,African American Arts Institute,1990-04-14,Poster advertising a performance by the Afro-American Dance Company ,"African American Dance Company, African American Arts Institute",image/jpg
poster03,1992.04.18.jpg,Afro-American Dance Company 1992 Poster,African American Arts Institute,1992-04-18,Poster advertising a spring performance by the Afro-American Dance Company,"African American Dance Company, African American Arts Institute",image/jpg
poster04,1993.05.jpg,African American Dance Company WTIU Poster,WTIU,1993-05,Poster advertising the African American Dance Company's appearance on WTIU,"African American Dance Company, African American Arts Institute, WTIU",image/jpg
poster05,1994.02.17.jpg,Afro-American Choral Ensemble with Indianapolis Symphony Orchestra Poster,Indianapolis Symphony Orchestra,1994-02-17,Poster advertising the Afro-American Choral Ensemble's performance with the Indianapolis Symphony Orchestra,"Afro-American Choral Ensemble, Indianapolis Symphony Orchestra, African American Arts Institute",image/jpg
poster06,1997.04.20.jpg,"African American Choral Ensemble ""S.T. - Sojourner Truth: Choral Portraits"" Poster",African American Arts Institute,1997-04-20,"Poster advertising the African American Choral Ensemble's performance of ""S.T. - Sojourner Truth: Choral Portraits""","Afro-American Choral Ensemble, African American Arts Institute",image/jpg
poster07,1999.04.17.jpg,African American Dance Company 25th Anniversary Poster,African American Arts Institute,1999-04-17,Poster advertising the African American Dance Company's 25th anniversary performance,"African American Dance Company, African American Arts Institute",image/jpg
poster08,2000.04.08.jpg,"Soul Revue ""Soul Revival 2000"" Poster",African American Arts Institute,2000-04-08,"Poster advertising the IU Soul Revue's ""Soul Revival 2000"" performance","IU Soul Revue, African American Arts Institute",image/jpg
poster09,2000.04.16.jpg,African American Choral Ensemble 25th Anniversary Poster,African American Arts Institute,2000-04-16,Poster advertising the African American Choral Ensemble's 25th anniversary performance,"African American Choral Ensemble, African American Arts Institute",image/jpg
poster10,2001.04.07.jpg,African American Arts Institute at the Buskirk-Chumley Poster,African American Arts Institute,2001-04-07,Poster advertising the African American Art Institute's performances at the Buskirk-Chumley,"African American Dance Company, African American Choral Ensemble, Soul Revue, African American Arts Institute, Buskirk-Chumley Theater",image/jpg
poster11,2002.04.19.jpg,"""One Nation Under a Groove"" Bloomington-Herald Times Newspaper",Bloomington-Herald Times,2002-04-19,Newspaper page advertising the 30th anniversary of IU Soul Revue in an edition of the Bloomington-Herald Times,"Soul Revue, African American Arts Institute, Bloomington-Herald Times",image/jpg
poster12,2002.04.20.jpg,IU Soul Revue 30th Anniversary Poster,African American Arts Institute,2002-04-20,Poster advertising the 30th anniversary IU Soul Revue performance,"Soul Revue, African American Arts Institute",image/jpg
poster13,2002.11.01.jpg,"A Potpourri of the Arts ""The Best is Yet to Come"" Poster",African American Arts Insititute,2002-11-01,"Poster advertising A Potpourri of the Arts' ""The Best is Yet to Come"" performance","African American Dance Company, African American Choral Ensemble, Soul Revue, African American Arts Institute",image/jpg
poster14,2003.03.20.jpg,IU Soul Revue March 2003 Poster,African American Arts Institute,2003-03-20,Poster advertising a 2003 performance by IU Soul Revue,"Soul Revue, African American Arts Institute",image/jpg
poster15,2003.04.05.jpg,African American Dance Company Spring Concert 2003 Poster,African American Arts Institute,2003-04-05,Poster advertising the 2003 spring concert of the African American Dance Company,"African American Dance Company, African American Arts Institute, Buskirk-Chumley Theater",image/jpg
